% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=550024, Tue Nov 20 01:06:11 2012
0 1 25 0 0 25.0000011755 25.0000027497 25.0000052286 25.0000044662 25.0000044928 25.0000059659 24.9999941838
1 10 21.1978111129 0 0 20.5633828759 21.2032280925 20.6681245897 20.627318075 21.0308308512 20.7730896713 21.3781185805
2 19 20.7357704646 0 0 19.7099162695 20.1868017774 20.0542745567 20.012550326 22.1543375459 20.7995943019 20.4970383371
3 28 21.7161405394 0 0 20.2784464565 20.7639870835 21.0420363317 20.4793990715 23.6481515278 22.8935750131 21.539709809
4 37 24.2178168803 0 0 24.1270994075 23.4953474291 23.4425066719 22.2352551328 27.2532499127 25.5016306659 24.3545097648
5 46 23.9335295607 0 0 24.7950374174 23.2179683097 22.7144590752 21.4222547233 26.6073730028 24.646543117 24.1257515687
6 55 22.0195110394 0 0 22.8685600674 21.2266131559 20.4293335486 19.2062102708 23.7264114691 22.4825532455 21.6432039344
7 64 19.2566999051 0 0 19.9044295367 18.1559956846 17.7384632466 16.482849046 20.5359485194 19.1060540299 18.9823804122
8 73 17.4507060763 0 0 17.5964216406 16.4229750071 15.6754180597 14.5992806528 18.3970004675 17.2158002036 16.9515882936
9 82 19.7015294092 0 0 20.1792022177 18.9206181157 20.0480997908 16.1223813975 20.7476588064 20.1151237511 19.4261430934
10 91 22.0998635822 0 0 23.1412250849 20.9405926302 24.1902595479 17.5920660058 22.7085252929 22.4563563742 21.3155424374
