% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=550024, Tue Nov 20 01:06:11 2012
1 10 21.1978111129 1.0 -0.780052631579 -7.8005263157894744e-01 -0.759789473684 -0.735789473684 
2 19 20.7357704646 1.09498173409 -0.789736842105 -7.8973684210526318e-01 -0.766894736842 -0.737789473684 
3 28 21.7161405394 1.2281331299 -0.798736842105 -7.9873684210526308e-01 -0.770736842105 -0.739 
4 37 24.2178168803 1.3629376263 -0.798736842105 -7.9515789473684217e-01 -0.772263157895 -0.718736842105 
5 46 23.9335295607 1.55781689156 -0.808210526316 -8.0821052631578938e-01 -0.775315789474 -0.747157894737 
6 55 22.0195110394 1.60630119104 -0.808210526316 -8.0615789473684207e-01 -0.762210526316 -0.713736842105 
7 64 19.2566999051 1.60728094924 -0.808210526316 -7.9305263157894734e-01 -0.766105263158 -0.690263157895 
8 73 17.4507060763 1.66878045977 -0.808210526316 -7.8473684210526318e-01 -0.742105263158 -0.720947368421 
9 82 19.7015294092 1.70949077196 -0.812052631579 -8.1205263157894725e-01 -0.766578947368 -0.736631578947 
10 91 22.0998635822 1.84011413286 -0.812052631579 -8.0163157894736847e-01 -0.770842105263 -0.732842105263 
