% # columns="iteration, evaluation, void, void, void, xmean", seed=550024, Tue Nov 20 01:06:11 2012 # scaling_of_variables: 1, typical_x: 0
0 0 0 0 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1 10 0 0.0 nan -3.2988493887 10.993772213 -6.52513185337 7.3569320299 -0.314458106354 -8.41082652437 -7.04305065658
2 19 0 0.0 nan -7.06297025507 7.07813305227 10.7578666819 -6.0937160937 27.0499059563 10.43804927 -15.1112244824
3 28 0 0.0 nan -12.3411080628 13.0308863387 19.7762844827 -6.85098011033 35.6095581296 31.730963344 -27.9640569708
4 37 0 0.0 nan -36.8062648113 30.7820321256 28.2781100105 -7.73440011589 52.5173767244 34.6992154452 -39.9968050921
5 46 0 0.0 nan -50.2973819589 6.68033575696 15.788704774 2.59968387848 31.4496358765 30.4514367515 -33.0342070302
6 55 0 0.0 nan -48.8499660878 -5.89752897321 9.54476641765 -7.45600483663 27.5880910618 28.125785174 -27.1392704836
7 64 0 0.0 nan -26.5260570714 -3.62158914292 16.1776076277 -2.63366778068 12.4626106657 20.5531750988 -9.48300788145
8 73 0 0.0 nan -29.6127164781 -13.685017804 16.0541508982 -6.79364039437 19.8522287279 7.20979729349 -7.17398174681
9 82 0 0.0 nan -48.0075312933 6.02261072041 44.2939594319 -10.6190318365 34.3728597641 -5.97727009331 -23.3572533049
10 91 0 0.0 nan -61.0746628772 11.8082687654 62.305760411 -6.55539636044 28.2697361309 -9.97683622479 -26.0173248267
