% # iter+eval+sigma+0+fitness+xbest, seed=550024, Tue Nov 20 01:06:11 2012
1 10 21.1978111129 0 -0.780052631579 1.83295334967 13.7234350251 -9.7801036443 2.55792817738 -0.321603803959 -0.935523740102 -4.26681965671
2 19 20.7357704646 0 -0.789736842105 -17.7992891499 9.40590914149 15.6631712576 -14.7112031551 55.0894894547 36.2481975396 -13.3670068227
3 28 21.7161405394 0 -0.798736842105 -8.41818258667 -1.89702276949 5.89976948897 0.22291483908 15.7171211849 47.6504875898 -37.1712366597
4 37 24.2178168803 0 -0.795157894737 -58.1301170641 41.8578577459 30.9096987844 -9.72940267626 65.3894233097 34.1084084321 -33.9352552825
5 46 23.9335295607 0 -0.808210526316 -43.5121078152 -8.9366915057 27.1968508476 -0.902999616455 12.0217093511 18.6685201964 -4.37370046003
6 55 22.0195110394 0 -0.806157894737 -72.2610524133 -10.5763722633 9.39037898664 -7.95904707251 28.0205672058 55.0950060915 -30.1323909078
7 64 19.2566999051 0 -0.793052631579 -14.6007183391 -8.02886489845 -0.350142644602 0.967791465755 5.1387692399 19.0152861528 -1.57370007445
8 73 17.4507060763 0 -0.784736842105 -31.3306289187 -10.2266059598 11.169686766 -10.3549393096 22.1810058247 6.69437698103 3.89757914063
9 82 19.7015294092 0 -0.812052631579 -55.9195783038 19.1908176014 64.6170309287 -4.22116958918 41.6525891155 1.12068484931 -15.4976339816
10 91 22.0998635822 0 -0.801631578947 -74.7772804298 6.3744467197 63.5284189944 -2.10963771849 22.7729490416 -14.1522473678 -31.2981255231
